layer,pos,op,max_abs_diff,mean_abs_diff,mse,nrmse,rel_err_pct,dense_mean_abs,tq_mean_abs,note
2,30,q_normed,4.116297721862793,0.5421709418296814,0.5029692649841309,1.18811905465061,90.8291970107516,0.5969126224517822,0.6060255765914917,
2,30,k_normed,0.5766216516494751,0.048549894243478775,0.004356440156698227,0.7335992465239728,53.96116141716484,0.08997192233800888,0.08913268148899078,
2,30,v_normed,7.0744428634643555,0.5255143642425537,0.5286455750465393,1.4602793882805774,105.54514137060013,0.49790483713150024,0.4983751177787781,
2,30,sdpa_out,5.703936576843262,0.3081951439380646,0.23560765385627747,1.7698624609370788,112.37523477315793,0.2742553949356079,0.23157891631126404,
3,1,q_normed,0.23666900396347046,0.032128579914569855,0.0017324062064290047,0.061666474371176117,4.76009679535214,0.6749564409255981,0.6746698021888733,
3,1,k_normed,0.022909699007868767,0.002631941344588995,1.2292201972741168e-05,0.04096133118392179,3.0749313532306757,0.08559349924325943,0.0854746550321579,
3,1,v_normed,0.23196983337402344,0.03978759050369263,0.0025637084618210793,0.07240292310159278,5.689438683521254,0.6993236541748047,0.696944534778595,
3,1,sdpa_out,1.5398082733154297,0.050321564078330994,0.006170945707708597,0.23460768857218153,15.028668647882581,0.3348371386528015,0.3350343406200409,
3,5,q_normed,0.24526000022888184,0.03200303018093109,0.0017517829546704888,0.061652965971046796,4.714166607467969,0.6788693070411682,0.6781066656112671,
3,5,k_normed,0.028069518506526947,0.0027517457492649555,1.5111882021301426e-05,0.04530444788788422,3.2069328714857095,0.08580615371465683,0.08570341765880585,
3,5,v_normed,0.24830913543701172,0.03803641349077225,0.0024614043068140745,0.07270372758757038,5.573971707250873,0.6823933720588684,0.6810944676399231,
3,5,sdpa_out,1.7435121536254883,0.04816398397088051,0.005442120134830475,0.24848932267862045,16.223556783468855,0.29687684774398804,0.29496559500694275,
3,10,q_normed,0.19969436526298523,0.0369146354496479,0.002261686371639371,0.0726190095543911,5.636801152936355,0.6548862457275391,0.6559518575668335,
3,10,k_normed,0.025460874661803246,0.0036308092530816793,2.3319780666497536e-05,0.05614449993836234,4.221321414860606,0.08601120114326477,0.08604194223880768,
3,10,v_normed,0.27964845299720764,0.06164746731519699,0.006329274736344814,0.11636761318923415,9.017172789782133,0.6836673617362976,0.6815088391304016,
3,10,sdpa_out,1.9795045852661133,0.04503437131643295,0.005005458369851112,0.2653114166137625,16.88799594351694,0.266664981842041,0.2718258500099182,
3,15,q_normed,0.28941917419433594,0.039649203419685364,0.0026601064018905163,0.07662653464938507,5.8906625926865965,0.673085629940033,0.6740658283233643,
3,15,k_normed,0.03597138822078705,0.004302180837839842,3.540865145623684e-05,0.06768950884477677,4.8939027053215725,0.08790899813175201,0.08777391910552979,
3,15,v_normed,0.4509091377258301,0.060436125844717026,0.006261967588216066,0.11119138051742468,8.49204587253275,0.711679220199585,0.7107289433479309,
3,15,sdpa_out,0.8168597221374512,0.05661565810441971,0.006143980659544468,0.21172393960948638,15.29260976615408,0.3702158033847809,0.35760635137557983,
3,20,q_normed,4.571474075317383,0.650336742401123,0.7129906415939331,1.2386608855048373,95.40009345152819,0.6816940307617188,0.6860658526420593,
3,20,k_normed,0.5443158149719238,0.06304287910461426,0.007092901971191168,1.0953953877206732,81.99643445288041,0.07688490301370621,0.08509131520986557,
3,20,v_normed,19.350372314453125,0.9709523916244507,1.928315281867981,1.9962415514927814,139.5796180011979,0.6956261992454529,0.7136631011962891,
3,20,sdpa_out,17.572107315063477,0.26020899415016174,0.2678496837615967,2.0533741443426665,103.23924601615732,0.2520446479320526,0.3002736568450928,
3,25,q_normed,4.53109884262085,0.6138554811477661,0.6537965536117554,1.1642082434834384,88.38437488991563,0.6945294141769409,0.6785908937454224,
3,25,k_normed,0.6319633722305298,0.06461206823587418,0.007797848898917437,1.018468667579622,74.52018220744954,0.08670412003993988,0.08711856603622437,
3,25,v_normed,6.897298336029053,0.934878945350647,1.4815770387649536,1.649401145039123,126.6833535253917,0.7379651069641113,0.7071917057037354,
3,25,sdpa_out,10.827556610107422,0.3306027948856354,0.3144453763961792,1.8103958602440675,106.73514931663138,0.3097412586212158,0.261130154132843,
3,30,q_normed,3.8478360176086426,0.5670567154884338,0.5517505407333374,1.126317268201317,85.98364602785759,0.6594936847686768,0.661810040473938,
3,30,k_normed,0.39444607496261597,0.05531782656908035,0.0054987454786896706,0.859069642330775,64.08577958109724,0.08631841093301773,0.08410032093524933,
3,30,v_normed,8.767301559448242,0.7933973670005798,1.130134105682373,1.5020849640023877,112.10378161414629,0.7077347040176392,0.6384423971176147,
3,30,sdpa_out,13.706506729125977,0.28413301706314087,0.24720382690429688,1.6913320152933582,96.65470013396902,0.2939670979976654,0.24831999838352203,
4,1,q_normed,0.19057053327560425,0.027634665369987488,0.0013226019218564034,0.057069357033137154,4.3365325940853765,0.6372525691986084,0.6378394365310669,
4,1,k_normed,0.019943296909332275,0.002338760532438755,9.48298657021951e-06,0.033707696316943946,2.5600135330849625,0.09135735034942627,0.09140047430992126,
4,1,v_normed,0.3490016460418701,0.04772569239139557,0.0039186133071780205,0.08866404736213507,6.759795932399579,0.7060226798057556,0.7066996097564697,
4,1,sdpa_out,2.1594104766845703,0.04690156504511833,0.006395142525434494,0.35145388885886414,20.612495510690216,0.22753947973251343,0.24044567346572876,
4,5,q_normed,0.20605754852294922,0.028943795710802078,0.0014294888824224472,0.06390987338282209,4.892524964048124,0.5915921926498413,0.5920017957687378,
4,5,k_normed,0.02412530779838562,0.0027786707505583763,1.3623457562061958e-05,0.040525393989748366,3.050848653454844,0.09107861667871475,0.09112291038036346,
4,5,v_normed,0.29272720217704773,0.03981984779238701,0.0026870102155953646,0.08127539479614611,6.24344118119954,0.637786865234375,0.6391074657440186,
4,5,sdpa_out,2.855630874633789,0.053586628288030624,0.007827281020581722,0.3163874770505516,19.16329803066362,0.2796315550804138,0.2867337465286255,
4,10,q_normed,0.15568387508392334,0.023721257224678993,0.0009665846009738743,0.05385632426933419,4.109173475415589,0.5772756338119507,0.5774247646331787,
4,10,k_normed,0.017733216285705566,0.0025295198429375887,1.16615483420901e-05,0.0380728192560375,2.8201682520188935,0.08969393372535706,0.08980496972799301,
4,10,v_normed,0.4236409664154053,0.04618445411324501,0.003656909801065922,0.0872116124705704,6.660594690539778,0.6933983564376831,0.6936038732528687,
4,10,sdpa_out,3.520676612854004,0.05233553424477577,0.012344433926045895,0.49931760080893967,23.52003410757027,0.22251470386981964,0.23486165702342987,
4,15,q_normed,0.21996402740478516,0.02525557018816471,0.0010896683670580387,0.054664692268083015,4.182316677620949,0.6038655638694763,0.6021299958229065,
4,15,k_normed,0.023616626858711243,0.003050175029784441,1.7569080227985978e-05,0.04617736187630156,3.360310169954367,0.09077063947916031,0.09048487991094589,
4,15,v_normed,0.3130849599838257,0.04397832602262497,0.003359607420861721,0.08866652472537741,6.7275063323814654,0.6537091732025146,0.6521711349487305,
4,15,sdpa_out,2.4735288619995117,0.05392204970121384,0.008620776236057281,0.3419734217842688,19.860288823768194,0.2715068757534027,0.28037360310554504,
4,20,q_normed,8.310857772827148,0.6447139978408813,0.7394002676010132,1.4343949567282943,107.54644211015773,0.5994749665260315,0.6357499957084656,
4,20,k_normed,0.49704861640930176,0.06006748974323273,0.006583516485989094,0.9730316218999254,72.03399037878582,0.08338770270347595,0.09150683879852295,
4,20,v_normed,16.788236618041992,0.8804007768630981,1.518484354019165,2.0303088503698152,145.0565567086889,0.6069362163543701,0.7021211385726929,
4,20,sdpa_out,15.679872512817383,0.3173719644546509,0.3703068494796753,2.6592099200754054,138.68845486139816,0.22883805632591248,0.2955092191696167,
4,25,q_normed,3.1419639587402344,0.49341267347335815,0.41203027963638306,1.0642248368630545,81.80486345207072,0.6031581163406372,0.6092215180397034,
4,25,k_normed,0.3708491325378418,0.051616109907627106,0.004658129997551441,0.767785287659906,58.06564493328093,0.08889268338680267,0.0916459858417511,
4,25,v_normed,4.760131359100342,0.8948190212249756,1.3354287147521973,1.671843434586061,129.4554850315105,0.6912175416946411,0.70561683177948,
