layer,op,head,pos,max_abs_diff,nrmse
0,v,3,12,0.240531,0.088803
0,v,3,13,0.244936,0.091641
0,v,3,14,0.239229,0.089058
0,v,3,15,0.280441,0.095708
0,v,3,16,0.238224,0.089136
0,v,3,17,0.239229,0.089058
0,v,3,18,0.318796,0.103532
0,v,3,19,0.252432,0.089966
0,v,3,20,0.239229,0.089058
0,v,3,21,0.232349,0.094802
0,v,4,0,0.337646,0.087835
0,v,4,1,0.322144,0.096183
0,v,4,2,0.307588,0.092075
0,v,4,3,0.275707,0.092107
0,v,4,4,0.341393,0.093597
0,v,4,5,0.261641,0.087868
0,v,4,6,0.356777,0.115543
0,v,4,7,0.273472,0.097322
0,v,4,8,0.318899,0.089192
0,v,4,9,0.257838,0.090902
0,v,4,10,0.334897,0.097252
0,v,4,11,0.240934,0.089761
0,v,4,12,0.369458,0.089923
0,v,4,13,0.217471,0.088076
0,v,4,14,0.275707,0.092107
0,v,4,15,0.322144,0.096183
0,v,4,16,0.269367,0.092774
0,v,4,17,0.275707,0.092107
0,v,4,18,0.267077,0.088046
0,v,4,19,0.290530,0.090159
0,v,4,20,0.275707,0.092107
0,v,4,21,0.211576,0.087618
0,v,5,0,0.268102,0.087658
0,v,5,1,0.288891,0.092852
0,v,5,2,0.304653,0.124932
0,v,5,3,0.255368,0.094160
0,v,5,4,0.269530,0.095636
0,v,5,5,0.340711,0.103810
0,v,5,6,0.280710,0.096201
0,v,5,7,0.282668,0.102289
0,v,5,8,0.290748,0.090613
0,v,5,9,0.319139,0.096542
0,v,5,10,0.252732,0.095551
0,v,5,11,0.259442,0.098049
0,v,5,12,0.263579,0.085466
0,v,5,13,0.283771,0.102213
0,v,5,14,0.255368,0.094160
0,v,5,15,0.288891,0.092852
0,v,5,16,0.288778,0.095091
0,v,5,17,0.255368,0.094160
0,v,5,18,0.326756,0.093361
0,v,5,19,0.287770,0.095034
0,v,5,20,0.255368,0.094160
0,v,5,21,0.275518,0.097369
0,v,6,0,0.319162,0.085650
0,v,6,1,0.241579,0.097287
0,v,6,2,0.252699,0.093275
0,v,6,3,0.303637,0.092152
0,v,6,4,0.305763,0.092458
0,v,6,5,0.303590,0.096572
0,v,6,6,0.241059,0.088740
0,v,6,7,0.271481,0.091955
0,v,6,8,0.305101,0.095451
0,v,6,9,0.235599,0.083679
0,v,6,10,0.342067,0.098366
0,v,6,11,0.300148,0.093516
0,v,6,12,0.284820,0.097579
0,v,6,13,0.314156,0.113833
0,v,6,14,0.303637,0.092152
0,v,6,15,0.241579,0.097287
0,v,6,16,0.254149,0.093554
0,v,6,17,0.303637,0.092152
0,v,6,18,0.254448,0.091858
0,v,6,19,0.259316,0.094890
0,v,6,20,0.303637,0.092152
0,v,6,21,0.249429,0.096139
0,v,7,0,0.245845,0.089114
0,v,7,1,0.279313,0.096555
0,v,7,2,0.379143,0.095870
0,v,7,3,0.284371,0.086481
0,v,7,4,0.312049,0.098440
0,v,7,5,0.244261,0.093796
0,v,7,6,0.290833,0.099121
0,v,7,7,0.278001,0.097192
0,v,7,8,0.251759,0.090764
0,v,7,9,0.298626,0.094960
0,v,7,10,0.287895,0.093718
0,v,7,11,0.301462,0.091432
0,v,7,12,0.277193,0.092024
0,v,7,13,0.275068,0.084845
0,v,7,14,0.284371,0.086481
0,v,7,15,0.279313,0.096555
0,v,7,16,0.260088,0.093551
0,v,7,17,0.284371,0.086481
0,v,7,18,0.304154,0.094181
0,v,7,19,0.316836,0.099901
0,v,7,20,0.284371,0.086481
0,v,7,21,0.266580,0.090450
5,k,0,0,0.017449,0.088798
5,k,0,1,0.022963,0.088798
5,k,0,2,0.018932,0.087355
5,k,0,3,0.018512,0.087900
5,k,0,4,0.018873,0.092655
5,k,0,5,0.030501,0.095312
5,k,0,6,0.018520,0.092943
5,k,0,7,0.017779,0.102073
5,k,0,8,0.024386,0.107429
5,k,0,9,0.020283,0.105990
5,k,0,10,0.019375,0.092759
5,k,0,11,0.017990,0.090021
5,k,0,12,0.021061,0.099912
5,k,0,13,0.020069,0.095449
5,k,0,14,0.019245,0.095251
5,k,0,15,0.018772,0.092058
5,k,0,16,0.019555,0.090066
5,k,0,17,0.018344,0.101760
5,k,0,18,0.020862,0.103759
5,k,0,19,0.017792,0.090434
5,k,0,20,0.019642,0.091770
5,k,0,21,0.019276,0.090730
5,k,1,0,0.019208,0.090152
5,k,1,1,0.018749,0.091166
5,k,1,2,0.019337,0.096755
5,k,1,3,0.019396,0.090832
5,k,1,4,0.023652,0.120948
5,k,1,5,0.021909,0.094219
5,k,1,6,0.018979,0.093168
5,k,1,7,0.021275,0.091367
5,k,1,8,0.022130,0.105588
5,k,1,9,0.018518,0.096330
5,k,1,10,0.020147,0.092062
5,k,1,11,0.020708,0.096136
5,k,1,12,0.022825,0.094102
5,k,1,13,0.017859,0.094117
5,k,1,14,0.019774,0.096066
5,k,1,15,0.017463,0.089702
5,k,1,16,0.023459,0.108531
5,k,1,17,0.022724,0.094973
5,k,1,18,0.016159,0.093907
5,k,1,19,0.020268,0.094342
5,k,1,20,0.017467,0.092304
5,k,1,21,0.017493,0.094594
5,v,0,0,0.280287,0.088798
5,v,0,1,0.361183,0.088837
5,v,0,2,0.325819,0.088418
5,v,0,3,0.286086,0.088681
5,v,0,4,0.305765,0.091685
5,v,0,5,0.285078,0.091195
5,v,0,6,0.309638,0.094758
5,v,0,7,0.292475,0.097132
5,v,0,8,0.320121,0.105951
5,v,0,9,0.287435,0.101450
5,v,0,10,0.275465,0.092792
5,v,0,11,0.358359,0.092566
5,v,0,12,0.444982,0.099221
5,v,0,13,0.281783,0.091625
5,v,0,14,0.256597,0.091685
5,v,0,15,0.305302,0.092486
5,v,0,16,0.334133,0.101004
5,v,0,17,0.292098,0.095776
5,v,0,18,0.268205,0.090815
5,v,0,19,0.291731,0.091661
5,v,0,20,0.274006,0.094063
5,v,0,21,0.280391,0.091619
5,v,1,0,0.308541,0.090152
5,v,1,1,0.288266,0.092334
5,v,1,2,0.304036,0.093244
5,v,1,3,0.254838,0.088439
5,v,1,4,0.338967,0.116922
5,v,1,5,0.282886,0.093445
5,v,1,6,0.293095,0.098503
5,v,1,7,0.311949,0.089087
5,v,1,8,0.392904,0.112635
5,v,1,9,0.380286,0.092681
5,v,1,10,0.372058,0.098889
5,v,1,11,0.314081,0.109526
5,v,1,12,0.326804,0.098871
5,v,1,13,0.320841,0.095161
5,v,1,14,0.324041,0.101309
5,v,1,15,0.390021,0.092437
5,v,1,16,0.386961,0.111660
5,v,1,17,0.288478,0.090961
5,v,1,18,0.307076,0.104216
5,v,1,19,0.284661,0.092643
5,v,1,20,0.319705,0.094042
5,v,1,21,0.268140,0.095073
